contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY250313C00400000,SPY,2025-03-13,400.00,call,158.75,153.04,152.43,60,153.65,52,6,1,2025-03-13,3.58971,0.96432,0.00076,-4.11168,0.02266,0.01038
SPY250313P00400000,SPY,2025-03-13,400.00,put,0.00,0.01,0.00,0,0.01,3750,0,2289,2025-03-13,1.93808,-0.00065,0.00004,-0.06319,0.00065,-0.00001
SPY250313C00405000,SPY,2025-03-13,405.00,call,0.00,148.04,147.43,60,148.65,58,0,0,2025-03-13,3.47280,0.96322,0.00080,-4.07890,0.02323,0.01050
SPY250313P00405000,SPY,2025-03-13,405.00,put,0.00,0.01,0.00,0,0.01,130,0,1601,2025-03-13,1.86796,-0.00067,0.00004,-0.06290,0.00067,-0.00001
SPY250313C00410000,SPY,2025-03-13,410.00,call,0.00,143.04,142.43,60,143.65,40,0,0,2025-03-13,3.35679,0.96206,0.00085,-4.04445,0.02382,0.01062
SPY250313P00410000,SPY,2025-03-13,410.00,put,0.00,0.01,0.00,0,0.01,130,0,3369,2025-03-13,1.79860,-0.00070,0.00005,-0.06261,0.00070,-0.00001
SPY250313C00415000,SPY,2025-03-13,415.00,call,0.00,138.04,137.43,60,138.65,50,0,0,2025-03-13,3.24201,0.96083,0.00091,-4.00988,0.02445,0.01073
SPY250313P00415000,SPY,2025-03-13,415.00,put,0.00,0.01,0.00,0,0.01,130,0,3502,2025-03-13,1.73000,-0.00072,0.00005,-0.06233,0.00072,-0.00001
SPY250313C00420000,SPY,2025-03-13,420.00,call,0.00,133.04,132.43,60,133.65,40,0,0,2025-03-13,3.12799,0.95954,0.00096,-3.97324,0.02510,0.01085
SPY250313P00420000,SPY,2025-03-13,420.00,put,0.00,0.01,0.00,0,0.01,130,0,50,2025-03-13,1.66202,-0.00075,0.00005,-0.06201,0.00075,-0.00001
