contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
QQQ250513C00395000,QQQ,2025-05-13,395.00,call,122.11,120.50,118.76,6,122.24,2,3,0,2025-05-13,1.87695,1.00000,0.00000,-0.04685,0.00000,0.01082
QQQ250513P00395000,QQQ,2025-05-13,395.00,put,0.01,0.01,0.00,0,0.01,224,8,1345,2025-05-13,1.63793,-0.00081,0.00006,-0.06135,0.00075,-0.00001
QQQ250513C00400000,QQQ,2025-05-13,400.00,call,114.40,115.50,113.76,6,117.24,2,1,1,2025-05-13,1.79912,1.00000,0.00000,-0.04745,0.00000,0.01096
QQQ250513P00400000,QQQ,2025-05-13,400.00,put,0.01,0.01,0.00,0,0.01,220,1,8441,2025-05-13,1.56598,-0.00085,0.00007,-0.06100,0.00078,-0.00001
QQQ250513C00403000,QQQ,2025-05-13,403.00,call,0.00,112.50,110.76,6,114.24,2,0,0,2025-05-13,1.75243,1.00000,0.00000,-0.04780,0.00000,0.01104
QQQ250513P00403000,QQQ,2025-05-13,403.00,put,0.00,0.01,0.00,0,0.01,220,0,14500,2025-05-13,1.52315,-0.00087,0.00007,-0.06078,0.00080,-0.00001
QQQ250513C00404000,QQQ,2025-05-13,404.00,call,0.00,111.50,109.76,6,113.24,2,0,0,2025-05-13,1.73686,1.00000,0.00000,-0.04792,0.00000,0.01107
QQQ250513P00404000,QQQ,2025-05-13,404.00,put,0.00,0.01,0.00,0,0.01,218,0,245,2025-05-13,1.50897,-0.00088,0.00007,-0.06073,0.00081,-0.00001
QQQ250513C00405000,QQQ,2025-05-13,405.00,call,111.09,110.50,108.76,6,112.24,2,2,2,2025-05-13,1.72130,1.00000,0.00000,-0.04804,0.00000,0.01109
QQQ250513P00405000,QQQ,2025-05-13,405.00,put,0.00,0.01,0.00,0,0.01,217,0,2199,2025-05-13,1.49480,-0.00089,0.00007,-0.06066,0.00081,-0.00001
QQQ250513C00406000,QQQ,2025-05-13,406.00,call,0.00,109.50,107.76,6,111.25,2,0,0,2025-05-13,1.70573,1.00000,0.00000,-0.04816,0.00000,0.01112
QQQ250513P00406000,QQQ,2025-05-13,406.00,put,0.00,0.01,0.00,0,0.01,217,0,2756,2025-05-13,1.48062,-0.00089,0.00008,-0.06058,0.00082,-0.00001
QQQ250513C00407000,QQQ,2025-05-13,407.00,call,0.00,108.48,106.74,6,110.22,2,0,0,2025-05-13,1.69017,1.00000,0.00000,-0.04828,0.00000,0.01115
QQQ250513P00407000,QQQ,2025-05-13,407.00,put,0.00,0.01,0.00,0,0.01,224,0,3523,2025-05-13,1.46644,-0.00090,0.00008,-0.06049,0.00083,-0.00001
QQQ250513C00408000,QQQ,2025-05-13,408.00,call,0.00,107.47,105.74,6,109.19,2,0,0,2025-05-13,1.67461,1.00000,0.00000,-0.04840,0.00000,0.01118
QQQ250513P00408000,QQQ,2025-05-13,408.00,put,0.00,0.01,0.00,0,0.01,215,0,1326,2025-05-13,1.45242,-0.00091,0.00008,-0.06045,0.00083,-0.00001
QQQ250513C00409000,QQQ,2025-05-13,409.00,call,0.00,106.50,104.74,6,108.27,2,0,0,2025-05-13,1.65904,1.00000,0.00000,-0.04851,0.00000,0.01120
QQQ250513P00409000,QQQ,2025-05-13,409.00,put,0.00,0.01,0.00,0,0.01,217,0,198,2025-05-13,1.43824,-0.00092,0.00008,-0.06033,0.00084,-0.00001
QQQ250513C00410000,QQQ,2025-05-13,410.00,call,0.00,105.56,103.84,6,107.27,2,0,0,2025-05-13,1.64348,1.00000,0.00000,-0.04863,0.00000,0.01123
QQQ250513P00410000,QQQ,2025-05-13,410.00,put,0.00,0.01,0.00,0,0.01,214,0,951,2025-05-13,1.42422,-0.00093,0.00008,-0.06027,0.00085,-0.00001
QQQ250513C00411000,QQQ,2025-05-13,411.00,call,0.00,104.53,102.84,6,106.22,2,0,0,2025-05-13,1.62791,1.00000,0.00000,-0.04875,0.00000,0.01126
QQQ250513P00411000,QQQ,2025-05-13,411.00,put,0.00,0.01,0.00,0,0.01,214,0,107,2025-05-13,1.41019,-0.00094,0.00008,-0.06020,0.00085,-0.00001
QQQ250513C00412000,QQQ,2025-05-13,412.00,call,0.00,103.53,101.85,6,105.22,2,0,0,2025-05-13,1.61235,1.00000,0.00000,-0.04887,0.00000,0.01129
QQQ250513P00412000,QQQ,2025-05-13,412.00,put,0.00,0.01,0.00,0,0.01,214,0,701,2025-05-13,1.39617,-0.00094,0.00008,-0.06011,0.00086,-0.00001
QQQ250513C00413000,QQQ,2025-05-13,413.00,call,0.00,102.53,100.85,6,104.22,2,0,0,2025-05-13,1.59678,1.00000,0.00000,-0.04899,0.00000,0.01131
QQQ250513P00413000,QQQ,2025-05-13,413.00,put,0.00,0.01,0.00,0,0.01,211,0,997,2025-05-13,1.38230,-0.00095,0.00009,-0.06008,0.00087,-0.00001
QQQ250513C00414000,QQQ,2025-05-13,414.00,call,0.00,101.53,99.85,6,103.22,2,0,0,2025-05-13,1.58122,1.00000,0.00000,-0.04911,0.00000,0.01134
QQQ250513P00414000,QQQ,2025-05-13,414.00,put,0.00,0.01,0.00,0,0.01,211,0,14,2025-05-13,1.36827,-0.00096,0.00009,-0.05997,0.00088,-0.00001
QQQ250513C00415000,QQQ,2025-05-13,415.00,call,0.00,100.53,98.85,6,102.22,2,0,0,2025-05-13,1.56565,1.00000,0.00000,-0.04923,0.00000,0.01137
QQQ250513P00415000,QQQ,2025-05-13,415.00,put,0.00,0.01,0.00,0,0.01,211,0,177,2025-05-13,1.35440,-0.00097,0.00009,-0.05991,0.00089,-0.00001
QQQ250513C00416000,QQQ,2025-05-13,416.00,call,0.00,99.56,97.87,6,101.25,2,0,0,2025-05-13,1.55009,1.00000,0.00000,-0.04934,0.00000,0.01140
QQQ250513P00416000,QQQ,2025-05-13,416.00,put,0.00,0.01,0.00,0,0.01,210,0,110,2025-05-13,1.34053,-0.00098,0.00009,-0.05984,0.00089,-0.00001
QQQ250513C00417000,QQQ,2025-05-13,417.00,call,96.34,98.56,96.87,6,100.25,2,1,1,2025-05-13,1.53452,1.00000,0.00000,-0.04946,0.00000,0.01142
QQQ250513P00417000,QQQ,2025-05-13,417.00,put,0.00,0.01,0.00,0,0.01,210,0,624,2025-05-13,1.32651,-0.00099,0.00009,-0.05969,0.00090,-0.00001
QQQ250513C00418000,QQQ,2025-05-13,418.00,call,98.39,97.56,95.87,6,99.25,2,35,35,2025-05-13,1.51896,1.00000,0.00000,-0.04958,0.00000,0.01145
QQQ250513P00418000,QQQ,2025-05-13,418.00,put,0.00,0.01,0.00,0,0.01,210,0,33,2025-05-13,1.31279,-0.00100,0.00010,-0.05967,0.00091,-0.00001
QQQ250513C00419000,QQQ,2025-05-13,419.00,call,0.00,96.53,94.85,6,98.22,2,0,0,2025-05-13,1.50339,1.00000,0.00000,-0.04970,0.00000,0.01148
QQQ250513P00419000,QQQ,2025-05-13,419.00,put,0.00,0.01,0.00,0,0.01,207,0,699,2025-05-13,1.29892,-0.00101,0.00010,-0.05957,0.00092,-0.00001
QQQ250513C00420000,QQQ,2025-05-13,420.00,call,0.00,95.56,93.85,6,97.27,2,0,0,2025-05-13,1.48783,1.00000,0.00000,-0.04982,0.00000,0.01151
QQQ250513P00420000,QQQ,2025-05-13,420.00,put,0.00,0.01,0.00,0,0.01,207,0,144,2025-05-13,1.28505,-0.00102,0.00010,-0.05945,0.00093,-0.00001
QQQ250513C00421000,QQQ,2025-05-13,421.00,call,95.41,94.53,92.85,6,96.22,2,381,381,2025-05-13,1.47226,1.00000,0.00000,-0.04994,0.00000,0.01153
QQQ250513P00421000,QQQ,2025-05-13,421.00,put,0.00,0.01,0.00,0,0.01,196,0,273,2025-05-13,1.27133,-0.00103,0.00010,-0.05940,0.00094,-0.00001
QQQ250513C00422000,QQQ,2025-05-13,422.00,call,91.44,93.53,91.85,6,95.22,2,1,2,2025-05-13,1.45670,1.00000,0.00000,-0.05006,0.00000,0.01156
QQQ250513P00422000,QQQ,2025-05-13,422.00,put,0.00,0.01,0.00,0,0.01,205,0,26,2025-05-13,1.25761,-0.00104,0.00010,-0.05933,0.00094,-0.00002
QQQ250513C00423000,QQQ,2025-05-13,423.00,call,92.49,92.41,90.88,6,93.94,2,14,2,2025-05-13,1.44113,1.00000,0.00000,-0.05017,0.00000,0.01159
QQQ250513P00423000,QQQ,2025-05-13,423.00,put,0.00,0.01,0.00,0,0.01,205,0,4,2025-05-13,1.24389,-0.00105,0.00011,-0.05925,0.00095,-0.00002
QQQ250513C00424000,QQQ,2025-05-13,424.00,call,0.00,91.53,89.85,6,93.22,2,0,0,2025-05-13,1.42557,1.00000,0.00000,-0.05029,0.00000,0.01162
QQQ250513P00424000,QQQ,2025-05-13,424.00,put,0.00,0.01,0.00,0,0.01,204,0,5,2025-05-13,1.23017,-0.00107,0.00011,-0.05916,0.00096,-0.00002
QQQ250513C00425000,QQQ,2025-05-13,425.00,call,91.11,90.53,88.85,6,92.22,2,1,1,2025-05-13,1.41001,1.00000,0.00000,-0.05041,0.00000,0.01164
QQQ250513P00425000,QQQ,2025-05-13,425.00,put,0.01,0.01,0.00,0,0.01,202,1,413,2025-05-13,1.21645,-0.00108,0.00011,-0.05905,0.00097,-0.00002
QQQ250513C00426000,QQQ,2025-05-13,426.00,call,0.00,89.53,87.85,6,91.22,2,0,0,2025-05-13,1.39444,1.00000,0.00000,-0.05053,0.00000,0.01167
QQQ250513P00426000,QQQ,2025-05-13,426.00,put,0.00,0.01,0.00,0,0.01,192,0,18,2025-05-13,1.20273,-0.00109,0.00011,-0.05893,0.00098,-0.00002
QQQ250513C00427000,QQQ,2025-05-13,427.00,call,89.51,88.56,86.85,6,90.27,2,90,90,2025-05-13,1.37888,1.00000,0.00000,-0.05065,0.00000,0.01170
QQQ250513P00427000,QQQ,2025-05-13,427.00,put,0.00,0.01,0.00,0,0.01,201,0,514,2025-05-13,1.18916,-0.00110,0.00011,-0.05888,0.00099,-0.00002
QQQ250513C00428000,QQQ,2025-05-13,428.00,call,75.85,87.56,85.85,6,89.27,2,0,1,2025-05-13,1.36331,1.00000,0.00000,-0.05077,0.00000,0.01172
QQQ250513P00428000,QQQ,2025-05-13,428.00,put,0.00,0.01,0.00,0,0.01,200,0,1599,2025-05-13,1.17560,-0.00111,0.00012,-0.05882,0.00100,-0.00002
QQQ250513C00429000,QQQ,2025-05-13,429.00,call,87.72,86.53,84.85,6,88.22,2,135,135,2025-05-13,1.34775,1.00000,0.00000,-0.05089,0.00000,0.01175
QQQ250513P00429000,QQQ,2025-05-13,429.00,put,0.00,0.01,0.00,0,0.01,200,0,86,2025-05-13,1.16188,-0.00112,0.00012,-0.05866,0.00101,-0.00002
